position	value	codepoint	char
610	139809	U+2ED2F	𮴯
611	88221	U+2C754	𬝔
612	43347	U+25D1	◑
613	38967	U+2D8C	ⶌ
614	74273	U+260C4	𦃄
615	19032	U+69D1	槑
616	101047	U+16870	𖡰
617	22511	U+014B	ŋ
618	89406	U+2D91B	𭤛
619	109202	U+18C0F	𘰏
620	99061	U+124FA	𒓺
621	71381	U+24E49	𤹉
622	98646	U+122E9	𒋩
623	2329	U+5F80	往
624	8352	U+9036	逶
625	101231	U+16928	𖤨
626	21155	U+23232	𣈲
627	91641	U+316B1	𱚱
628	18203	U+3FED	㿭
629	98381	U+121E0	𒇠
630	47553	U+1F5CC	🗌
631	145793	U+31950	𱥐
632	54560	U+4457	䑗
633	113770	U+2170F	𡜏
634	49866	U+1F578	🕸
635	61746	U+20C05	𠰅
636	129356	U+2B92D	𫤭
637	80275	U+28371	𨍱
638	5836	U+8259	艙
639	5844	U+838A	莊
640	108125	U+187D2	𘟒
641	137460	U+2E18E	𮆎
642	41841	U+15E0	ᗠ
643	69495	U+24180	𤆀
644	87312	U+2B68B	𫚋
645	22216	U+29F23	𩼣
646	133977	U+2D155	𭅕
647	136560	U+2DD72	𭵲
648	80689	U+285D4	𨗔
649	129896	U+2BBC3	𫯃
650	120965	U+262E8	𦋨
651	19119	U+6D81	涁
652	35788	U+D259	퉙
653	23248	U+1EEC	Ử
654	130295	U+2BD82	𫶂
655	140122	U+2F856	堲
656	95772	U+10C1E	𐰞
657	52159	U+39EE	㧮
658	92819	U+194A	᥊
659	73923	U+25E6B	𥹫
660	76848	U+27043	𧁃
661	100889	U+14641	𔙁
662	103224	U+174AD	𗒭
663	54838	U+45A2	䖢
664	145368	U+31793	𱞓
665	76928	U+270DA	𧃚
666	15341	U+7F89	羉
667	131296	U+2C23A	𬈺
668	34956	U+CEFB	컻
669	41380	U+1413	ᐓ
670	64881	U+221CC	𢇌
671	89570	U+2DCEF	𭳯
672	117615	U+23F0B	𣼋
673	107821	U+186A2	𘚢
674	26921	U+AE0B	긋
675	126095	U+2A83B	𪠻
676	112522	U+20A81	𠪁
677	19301	U+75A0	疠
678	105523	U+17DA8	𗶨
679	121341	U+267CE	𦟎
680	137661	U+2E28B	𮊋
681	34500	U+CD1A	촚
682	46999	U+1ED3D	𞴽
683	17589	U+590A	夊
684	99685	U+131C3	𓇃
685	64182	U+21DAD	𡶭
686	31700	U+C193	솓
687	64394	U+21F10	𡼐
688	104165	U+1785A	𗡚
689	2442	U+8328	茨
690	140583	U+30011	𰀑
691	121712	U+26CA3	𦲣
692	47262	U+1F126	🄦
693	16861	U+9671	陱
694	15907	U+8794	螔
695	118024	U+24280	𤊀
696	55415	U+4809	䠉
697	22470	U+0118	Ę
698	52614	U+3BEB	㯫
699	147117	U+31EBA	𱺺
700	62064	U+20E68	𠹨
701	119081	U+24E56	𤹖
702	143513	U+30D8B	𰶋
703	83152	U+2946E	𩑮
704	139135	U+2E9AB	𮦫
705	76164	U+26BE0	𦯠
706	71695	U+2501E	𥀞
707	92367	U+AA02	ꨂ
708	95594	U+10AF6	𐫶
709	75448	U+267AF	𦞯
710	131494	U+2C322	𬌢
711	30401	U+BC4D	뱍
712	65645	U+2260C	𢘌
713	57686	U+668F	暏
714	121525	U+26A53	𦩓
715	110347	U+1D98F	𝦏
716	112384	U+20881	𠢁
717	144175	U+31187	𱆇
718	82433	U+290C3	𩃃
719	21884	U+27655	𧙕
720	124990	U+29ABB	𩪻
721	3969	U+7940	祀
722	30437	U+BC71	뱱
723	49884	U+1F331	🌱
724	8202	U+81BB	膻
725	28343	U+B3D6	돖
726	135651	U+2D936	𭤶
727	96370	U+110D4	𑃔
728	127503	U+2AE74	𪹴
729	67645	U+234AA	𣒪
730	69958	U+24575	𤕵
731	120690	U+26000	𦀀
732	99176	U+12FB9	𒾹
733	85915	U+2A3A5	𪎥
734	121883	U+26EDA	𦻚
735	57391	U+5E3A	帺
736	140501	U+2F9DD	𠣞
737	35315	U+D06D	큭
738	5703	U+6FD5	濕
739	76646	U+26F24	𦼤
740	78937	U+27BC1	𧯁
741	54450	U+43DE	䏞
742	46817	U+1D76F	𝝯
743	119251	U+25091	𥂑
744	1511	U+6CB3	河
745	47906	U+1F82F	🠯
746	137822	U+2E358	𮍘
747	33879	U+CAA1	쪡
748	13437	U+5ED7	廗
749	139393	U+2EAE3	𮫣
750	105170	U+17C47	𗱇
751	36534	U+D56C	핬
752	102816	U+17315	𗌕
753	78670	U+27A6B	𧩫
754	146116	U+31AA0	𱪠
755	113887	U+21867	𡡧
756	12210	U+782B	砫
757	105976	U+17F6D	𗽭
758	6230	U+59AF	妯
759	1379	U+0564	դ
760	73262	U+25A34	𥨴
761	140512	U+2F9E8	鋗
762	82736	U+29276	𩉶
763	16071	U+8963	襣
764	51763	U+383F	㠿
765	101956	U+16F14	𖼔
766	49214	U+1D6F6	𝛶
767	56357	U+4C02	䰂
768	41175	U+A5E0	ꗠ
769	74606	U+262D7	𦋗
770	71654	U+24FE4	𤿤
771	147371	U+31FC4	𱿄
772	36987	U+D74F	흏
773	24012	U+08C2	ࣂ
774	11792	U+5D93	嶓
775	29635	U+B91B	뤛
776	22329	U+2BE29	𫸩
777	30589	U+BD19	봙
778	42448	U+220B	∋
779	78786	U+27B08	𧬈
780	49316	U+1D760	𝝠
781	90868	U+30CD7	𰳗
782	109070	U+18B8B	𘮋
783	26130	U+1184	ᆄ
784	92977	U+1A29	ᨩ
785	141941	U+305FC	𰗼
786	38017	U+0A09	ਉ
787	8699	U+52B2	劲
788	140217	U+2F8B9	挽
789	85231	U+29FE4	𩿤
790	33557	U+C953	쥓
791	104497	U+179A6	𗦦
792	79953	U+2818E	𨆎
793	90741	U+30B0B	𰬋
794	91818	U+0802	ࠂ
795	107268	U+18479	𘑹
796	37071	U+D7B4	ힴ
797	65927	U+227FC	𢟼
798	90891	U+30D2F	𰴯
799	20716	U+20C20	𠰠
800	91678	U+3192D	𱤭
801	27576	U+B0AB	낫
802	109073	U+18B8E	𘮎
803	58311	U+7900	礀
804	64759	U+2211A	𢄚
805	410	U+03B3	γ
806	126303	U+2A928	𪤨
807	147693	U+32118	𲄘
808	72734	U+256BF	𥚿
809	102154	U+1707F	𗁿
810	77871	U+27619	𧘙
811	62310	U+210AA	𡂪
812	132178	U+2C681	𬚁
813	86032	U+2A42C	𪐬
814	133246	U+2CCCE	𬳎
815	141978	U+30626	𰘦
816	90383	U+2EDF5	𮷵
817	129648	U+2BA88	𫪈
818	2	U+006E	n
819	21182	U+23400	𣐀
820	30942	U+BE85	뺅
821	2108	U+B4F1	등
822	53218	U+3E8E	㺎
823	125370	U+29F38	𩼸
824	42961	U+241F	␟
825	35975	U+D321	팡
826	121335	U+267C7	𦟇
827	70266	U+24713	𤜓
828	57184	U+5908	夈
829	75127	U+265D2	𦗒
830	96228	U+11009	𑀉
831	20567	U+FA3D	悔
832	142045	U+30671	𰙱
833	82978	U+2939A	𩎚
834	35876	U+D2B3	튳
835	136032	U+2DAF5	𭫵
836	30597	U+BD21	봡
837	119935	U+257E5	𥟥
838	64957	U+22237	𢈷
839	135142	U+2D6D1	𭛑
840	34891	U+CEB6	캶
841	137787	U+2E32E	𮌮
842	142948	U+30A6A	𰩪
843	39581	U+ABB2	ꮲ
844	127684	U+2AF46	𪽆
845	100021	U+13313	𓌓
846	76983	U+2713C	𧄼
847	57112	U+5705	圅
848	147275	U+31F5E	𱽞
849	126922	U+2ABE1	𪯡
850	4878	U+77E3	矣
851	111776	U+20240	𠉀
852	61676	U+20B9C	𠮜
853	134289	U+2D2D0	𭋐
854	103202	U+17497	𗒗
855	58929	U+8AE3	諣
856	44329	U+2B26	⬦
857	54813	U+4589	䖉
858	12950	U+55FA	嗺
859	87143	U+2B4DA	𫓚
860	128695	U+2B470	𫑰
861	43185	U+252B	┫
862	136004	U+2DACD	𭫍
863	43072	U+24B9	Ⓓ
864	10836	U+929A	銚
865	7856	U+65EE	旮
866	28438	U+B43A	됺
867	123027	U+27F3F	𧼿
868	73712	U+25D23	𥴣
869	83443	U+295EF	𩗯
870	45641	U+1CCE1	𜳡
871	76975	U+2712A	𧄪
872	135855	U+2DA1F	𭨟
873	114301	U+21CC0	𡳀
874	3043	U+5140	兀
875	110025	U+1D84D	𝡍
876	106640	U+18205	𘈅
877	77757	U+27589	𧖉
878	107424	U+18515	𘔕
879	51126	U+3550	㕐
880	1009	U+09E7	১
881	125559	U+2A1CC	𪇌
882	86002	U+2A40B	𪐋
883	35287	U+D050	큐
884	112936	U+20F06	𠼆
885	106283	U+180A0	𘂠
886	69349	U+24068	𤁨
887	104717	U+17A82	𗪂
888	134436	U+2D36D	𭍭
889	62687	U+21331	𡌱
890	130388	U+2BDF1	𫷱
891	36868	U+D6D8	훘
892	142564	U+308B8	𰢸
893	141148	U+3027E	𰉾
