position	value	codepoint	char
449	82797	U+292BA	𩊺
450	31803	U+C1FD	쇽
451	2608	U+0913	ओ
452	41252	U+2D31	ⴱ
453	130862	U+2C018	𬀘
454	13592	U+61B8	憸
455	23679	U+1078F	𐞏
456	82646	U+29208	𩈈
457	5673	U+6CB1	沱
458	128786	U+2B4EB	𫓫
459	21095	U+22BCE	𢯎
460	37301	U+1F26	ἦ
461	62582	U+21281	𡊁
462	32452	U+C49C	쒜
463	53903	U+4197	䆗
464	28920	U+B62F	똯
465	37372	U+1F75	ή
466	64649	U+22087	𢂇
467	116574	U+2346B	𣑫
468	147254	U+31F46	𱽆
469	103191	U+1748C	𗒌
470	65487	U+2251C	𢔜
471	35723	U+D216	툖
472	31653	U+C161	셡
473	67654	U+234B9	𣒹
474	120943	U+262A8	𦊨
475	122942	U+27E62	𧹢
476	21781	U+26CC3	𦳃
477	28427	U+B42F	됯
478	106736	U+18265	𘉥
479	4424	U+4FD0	俐
480	36752	U+D65F	홟
481	113226	U+21181	𡆁
482	89734	U+2E154	𮅔
483	288	U+0635	ص
484	40143	U+A19C	ꆜ
485	64772	U+2212C	𢄬
486	15654	U+84F1	蓱
487	19678	U+8533	蔳
488	87496	U+2B79E	𫞞
489	64529	U+21FDD	𡿝
490	121539	U+26A9E	𦪞
491	109515	U+1B1D8	𛇘
492	69746	U+243EF	𤏯
493	78646	U+27A50	𧩐
494	110514	U+1E115	𞄕
495	17556	U+5333	匳
496	52613	U+3BEA	㯪
497	49986	U+1F95F	🥟
498	36014	U+D34A	퍊
499	110311	U+1D96B	𝥫
500	101719	U+16B3B	𖬻
501	54821	U+4591	䖑
502	135802	U+2D9E6	𭧦
503	133517	U+2CEFC	𬻼
504	56940	U+528E	劎
505	2041	U+C57C	야
506	121686	U+26C85	𦲅
507	121537	U+26A8F	𦪏
508	22907	U+1D3E	ᴾ
509	142284	U+30782	𰞂
510	50030	U+1F30D	🌍
511	90587	U+305F9	𰗹
512	143106	U+30B57	𰭗
513	78575	U+279EB	𧧫
514	14406	U+6FBA	澺
515	47370	U+1F1A1	🆡
516	62865	U+214A4	𡒤
517	93597	U+A6EE	ꛮ
518	117928	U+241CC	𤇌
519	112257	U+20721	𠜡
520	67663	U+234C6	𣓆
521	71222	U+24D66	𤵦
522	30990	U+BEB5	뺵
523	44823	U+329F	㊟
524	109650	U+1B25F	𛉟
525	97430	U+119CD	𑧍
526	42391	U+21D2	⇒
527	118771	U+24A76	𤩶
528	134620	U+2D44B	𭑋
529	146808	U+31D76	𱵶
530	126788	U+2AB45	𪭅
531	39191	U+0F41	ཁ
532	109758	U+1B2CB	𛋋
533	147365	U+31FBD	𱾽
534	105541	U+17DBA	𗶺
535	145342	U+31778	𱝸
536	50169	U+1F9F3	🧳
537	101587	U+16A98	𖪘
538	54874	U+45C8	䗈
539	138990	U+2E8FD	𮣽
540	36174	U+D3F1	폱
541	108527	U+1896C	𘥬
542	106813	U+182B2	𘊲
543	122741	U+27AFC	𧫼
544	68377	U+239C6	𣧆
545	129425	U+2B97E	𫥾
546	110219	U+1D90F	𝤏
547	25496	U+1B025	𛀥
548	58357	U+7A09	稉
549	122448	U+2767C	𧙼
550	93365	U+2C3E	ⰾ
551	121669	U+26C15	𦰕
552	49269	U+1D72F	𝜯
553	64666	U+2209F	𢂟
554	92551	U+11ADB	𑫛
555	15973	U+882F	蠯
556	111840	U+202C4	𠋄
557	120124	U+259CD	𥧍
558	32712	U+C5AF	얯
559	67165	U+230D0	𣃐
560	105537	U+17DB6	𗶶
561	19052	U+6A36	樶
562	41161	U+A5D2	ꗒ
563	44392	U+2B67	⭧
564	66397	U+22B39	𢬹
565	53868	U+4170	䅰
566	22996	U+1DA2	ᶢ
567	12159	U+74FB	瓻
568	83709	U+29741	𩝁
569	143696	U+30E67	𰹧
570	100629	U+1453D	𔔽
571	135381	U+2D7E8	𭟨
572	69805	U+24471	𤑱
573	127539	U+2AE9C	𪺜
574	82231	U+28FC2	𨿂
575	110901	U+1E8B3	𞢳
576	32049	U+C307	쌇
577	129836	U+2BB7D	𫭽
578	89513	U+2DBB0	𭮰
579	102513	U+171E6	𗇦
580	28087	U+B2C0	닀
581	92897	U+19A5	ᦥ
582	2561	U+0DB0	ධ
583	7910	U+697C	楼
584	128751	U+2B4B9	𫒹
585	23705	U+107A9	𐞩
586	75605	U+268C6	𦣆
587	63051	U+215D7	𡗗
588	29352	U+B7E9	럩
589	41625	U+1508	ᔈ
590	147206	U+31F14	𱼔
591	77311	U+27311	𧌑
592	54481	U+4405	䐅
593	76247	U+26C66	𦱦
594	127254	U+2AD6A	𪵪
595	30582	U+BD12	봒
596	114403	U+21DBF	𡶿
597	78799	U+27B17	𧬗
598	7653	U+5577	啷
599	67760	U+2358A	𣖊
600	70613	U+248F8	𤣸
601	117731	U+23FFF	𣿿
602	1463	U+68DA	棚
603	99107	U+12528	𒔨
604	43023	U+2488	⒈
605	105593	U+17DEE	𗷮
606	1530	U+D654	화
607	134801	U+2D529	𭔩
608	124594	U+293B4	𩎴
609	39696	U+312D	ㄭ
610	25040	U+0409	Љ
611	79362	U+27E01	𧸁
612	118945	U+24C85	𤲅
613	93702	U+A98F	ꦏ
614	69619	U+242B6	𤊶
615	109423	U+1B17C	𛅼
616	138677	U+2E784	𮞄
617	51321	U+363B	㘻
618	138371	U+2E60D	𮘍
619	25073	U+0472	Ѳ
620	137652	U+2E27E	𮉾
621	91781	U+321CA	𲇊
622	114434	U+21E30	𡸰
623	60268	U+202F5	𠋵
624	83479	U+2961A	𩘚
625	30245	U+BBA2	뮢
626	118201	U+243C5	𤏅
627	103628	U+17641	𗙁
628	136817	U+2DE90	𭺐
629	114369	U+21D65	𡵥
630	130981	U+2C0A6	𬂦
631	75080	U+26579	𦕹
632	50387	U+1F514	🔔
633	99636	U+13192	𓆒
634	125448	U+2A039	𪀹
635	124011	U+28B62	𨭢
636	2877	U+D000	퀀
637	118292	U+24472	𤑲
638	41319	U+07CA	ߊ
639	145863	U+3199C	𱦜
640	52958	U+3D64	㵤
641	598	U+5DDE	州
642	84190	U+299E6	𩧦
643	32924	U+C6A0	욠
644	75272	U+266A8	𦚨
645	46425	U+1D0CF	𝃏
646	47357	U+1F189	🆉
647	116876	U+236E1	𣛡
648	95006	U+106FB	𐛻
649	93964	U+100B2	𐂲
650	54422	U+43BF	䎿
651	4734	U+6CD3	泓
652	43902	U+2976	⥶
653	9672	U+7266	牦
654	61736	U+20BF1	𠯱
655	146550	U+31C62	𱱢
656	60915	U+20759	𠝙
657	59957	U+2009F	𠂟
658	95506	U+10A78	𐩸
659	107949	U+18722	𘜢
660	80543	U+284EB	𨓫
661	17636	U+66B6	暶
662	79738	U+28036	𨀶
663	128798	U+2B51C	𫔜
664	138170	U+2E518	𮔘
665	105513	U+17D9E	𗶞
666	1109	U+91CF	量
667	15441	U+8172	腲
668	89905	U+2E49A	𮒚
669	109052	U+18B79	𘭹
670	63854	U+21B9A	𡮚
671	82927	U+2935B	𩍛
672	53055	U+3DDA	㷚
673	53543	U+4007	䀇
674	115101	U+226F9	𢛹
675	90655	U+3085E	𰡞
676	34402	U+CCB6	첶
677	128832	U+2B54B	𫕋
678	121505	U+269FE	𦧾
679	68920	U+23CDF	𣳟
680	136693	U+2DE04	𭸄
681	89008	U+2D047	𭁇
682	1793	U+8B49	證
683	66334	U+22AA6	𢪦
684	46938	U+1ECB4	𞲴
685	169	U+05DC	ל
686	94294	U+103D0	𐏐
687	123091	U+28056	𨁖
688	117635	U+23F2C	𣼬
689	37113	U+D7E2	ퟢ
690	67612	U+23444	𣑄
691	47713	U+1F740	🝀
692	30819	U+BE06	븆
693	21529	U+24AE2	𤫢
694	21207	U+23659	𣙙
695	88670	U+2CCBE	𬲾
696	39738	U+A007	ꀇ
697	107278	U+18483	𘒃
698	6137	U+54A9	咩
699	90391	U+2EE09	𮸉
700	122042	U+270B7	𧂷
701	66358	U+22AE5	𢫥
702	107410	U+18507	𘔇
703	120384	U+25C70	𥱰
704	134077	U+2D1E3	𭇣
705	129741	U+2BB04	𫬄
706	35104	U+CF96	쾖
707	49654	U+1F64D	🙍
708	37141	U+FFA2	ﾢ
709	69774	U+2442A	𤐪
710	32043	U+C301	쌁
711	108533	U+18972	𘥲
712	142632	U+30903	𰤃
713	13472	U+5FA6	徦
714	16230	U+8C43	豃
715	97715	U+11D11	𑴑
716	68079	U+2381E	𣠞
717	111762	U+20218	𠈘
718	93676	U+A939	ꤹ
719	60388	U+203E9	𠏩
720	65587	U+225B4	𢖴
721	94164	U+1033A	𐌺
722	1572	U+061B	؛
723	134915	U+2D5B8	𭖸
724	84975	U+29E45	𩹅
725	59699	U+F969	數
726	76680	U+26F49	𦽉
727	14205	U+6C1D	氝
728	93773	U+AA8A	ꪊ
729	140562	U+2FA1A	鼏
730	51319	U+3638	㘸
731	105132	U+17C21	𗰡
732	89399	U+2D90E	𭤎
733	93899	U+1004D	𐁍
734	61439	U+20A4D	𠩍
735	55290	U+4786	䞆
736	116891	U+2370A	𣜊
737	58499	U+7D74	絴
738	118988	U+24D0A	𤴊
739	42267	U+20B1	₱
740	102195	U+170A8	𗂨
741	86987	U+2B2CB	𫋋
742	104082	U+17807	𗠇
743	53169	U+3E5B	㹛
744	125395	U+29F6E	𩽮
745	49100	U+1D680	𝚀
746	96512	U+11198	𑆘
747	75768	U+2699E	𦦞
748	29053	U+B6B4	뚴
749	108850	U+18AAF	𘪯
750	140794	U+300F3	𰃳
751	59872	U+FA18	礼
752	4066	U+7FD4	翔
753	138479	U+2E6A2	𮚢
754	102273	U+170F6	𗃶
755	45624	U+1CCD0	𜳐
756	6284	U+60C6	惆
757	83244	U+294E6	𩓦
758	83571	U+2968E	𩚎
759	124121	U+28C31	𨰱
760	140956	U+301A0	𰆠
761	7578	U+4E76	乶
762	60527	U+20503	𠔃
763	124908	U+2993C	𩤼
764	71151	U+24D05	𤴅
765	15003	U+7990	禐
766	94011	U+100E1	𐃡
