position	value	codepoint	char
284	109871	U+1BC40	𛱀
285	145032	U+31628	𱘨
286	54591	U+4476	䑶
287	83419	U+295D3	𩗓
288	129624	U+2BA5F	𫩟
289	41816	U+15C7	ᗇ
290	131934	U+2C53B	𬔻
291	20777	U+20EAB	𠺫
292	87925	U+2C0EE	𬃮
293	6507	U+759A	疚
294	87467	U+2B780	𫞀
295	26224	U+11E2	ᇢ
296	8866	U+5727	圧
297	74585	U+262B1	𦊱
298	54786	U+4569	䕩
299	69142	U+23E7C	𣹼
300	90091	U+2E889	𮢉
301	111490	U+FABE	諭
302	81287	U+28921	𨤡
303	59852	U+FA03	糖
304	118843	U+24B45	𤭅
305	36986	U+D74E	흎
306	16442	U+8F2C	輬
307	147370	U+31FC3	𱿃
308	18449	U+4C5B	䱛
309	28595	U+B4DF	듟
310	104830	U+17AF3	𗫳
311	54239	U+42FF	䋿
312	24365	U+FCB9	ﲹ
313	124538	U+29260	𩉠
314	79737	U+28034	𨀴
315	73809	U+25DBD	𥶽
316	130211	U+2BD24	𫴤
317	13329	U+5D39	崹
318	115155	U+22768	𢝨
319	20823	U+21148	𡅈
320	1753	U+6C49	汉
321	65788	U+22716	𢜖
322	119089	U+24E6F	𤹯
323	20736	U+20CFF	𠳿
324	25214	U+0507	ԇ
325	90973	U+30DED	𰷭
326	38299	U+AA66	ꩦ
327	115010	U+225F7	𢗷
328	69849	U+244D2	𤓒
329	23121	U+1E60	Ṡ
330	85381	U+2A0BA	𪂺
331	128357	U+2B279	𫉹
332	24444	U+FD08	ﴈ
333	18081	U+3B95	㮕
334	129950	U+2BBFF	𫯿
335	120566	U+25E96	𥺖
336	57058	U+5585	喅
337	16667	U+92D8	鋘
338	110729	U+1E807	𞠇
339	64899	U+221E0	𢇠
340	141568	U+3044F	𰑏
341	125680	U+2A431	𪐱
342	89831	U+2E344	𮍄
343	46707	U+1D308	𝌈
344	13592	U+61B8	憸
345	59943	U+2007D	𠁽
346	52414	U+3B08	㬈
347	92671	U+16CF	ᛏ
348	39660	U+3109	ㄉ
349	21201	U+235F3	𣗳
350	101610	U+16AAF	𖪯
351	139432	U+2EB2D	𮬭
352	131666	U+2C3ED	𬏭
353	26167	U+11A9	ᆩ
354	35357	U+D099	킙
355	127454	U+2AE41	𪹁
356	103889	U+17746	𗝆
357	125629	U+2A2E8	𪋨
358	126116	U+2A857	𪡗
359	56062	U+4AC5	䫅
360	137883	U+2E3AA	𮎪
361	18987	U+67BF	枿
362	117647	U+23F39	𣼹
363	102073	U+1702E	𗀮
364	87401	U+2B71F	𫜟
365	78918	U+27BAD	𧮭
366	128857	U+2B567	𫕧
367	125883	U+2A74E	𪝎
368	27943	U+B22D	눭
369	42016	U+18BF	ᢿ
370	101173	U+168EE	𖣮
371	108751	U+18A4C	𘩌
372	117515	U+23E3A	𣸺
373	86654	U+2A9AE	𪦮
374	110997	U+1E950	𞥐
375	39542	U+AB8B	ꮋ
376	6750	U+90B0	邰
377	61647	U+20B76	𠭶
378	27559	U+B096	낖
379	50751	U+1F17E	🅾
380	9457	U+6AF3	櫳
381	86313	U+2A591	𪖑
382	88098	U+2C4F5	𬓵
383	69652	U+2430A	𤌊
384	67604	U+2343A	𣐺
385	89056	U+2D125	𭄥
386	138803	U+2E819	𮠙
387	34305	U+CC50	챐
388	98741	U+12348	𒍈
389	86037	U+2A432	𪐲
390	7144	U+6E5C	湜
391	26532	U+AC68	걨
392	22951	U+1D74	ᵴ
393	111673	U+20150	𠅐
394	105310	U+17CD3	𗳓
395	143618	U+30E15	𰸕
396	113942	U+218F2	𡣲
397	4170	U+832B	茫
398	14753	U+755F	畟
399	96646	U+112A3	𑊣
400	47927	U+1F844	🡄
401	62144	U+20F69	𠽩
402	144005	U+31059	𱁙
403	13690	U+6397	掗
404	68433	U+23A03	𣨃
405	89080	U+2D172	𭅲
406	111190	U+2F42	⽂
407	5024	U+8165	腥
408	132278	U+2C6EE	𬛮
409	54980	U+463D	䘽
410	19491	U+7DA4	綤
411	45630	U+1CCD6	𜳖
412	87989	U+2C235	𬈵
413	139120	U+2E99A	𮦚
414	139529	U+2EBAE	𮮮
415	19051	U+6A33	樳
416	15539	U+833B	茻
417	119194	U+24FB7	𤾷
418	15624	U+847E	葾
419	77577	U+2748E	𧒎
