position	value	codepoint	char
360	119121	U+187AF	𘞯
361	124478	U+29344	𩍄
362	15619	U+D165	텥
363	119846	U+183E0	𘏠
364	110669	U+297AF	𩞯
365	13548	U+C5C4	엄
366	83169	U+20F12	𠼒
367	9628	U+C900	준
368	18545	U+26361	𦍡
369	148008	U+1F66F	🙯
370	83992	U+2037B	𠍻
371	94735	U+1307E	𓁾
372	67603	U+2DF41	𭽁
373	146330	U+100AF	𐂯
374	137992	U+26183	𦆃
375	105713	U+6AA9	檩
376	99209	U+2D1F	ⴟ
377	49875	U+259A8	𥦨
378	86682	U+23597	𣖗
379	12080	U+2D1A8	𭆨
380	86816	U+281C5	𨇅
381	39758	U+2A802	𪠂
382	74956	U+26374	𦍴
383	69760	U+C97B	쥻
384	64909	U+C0BB	삻
385	95309	U+00C2	Â
386	44082	U+22A86	𢪆
387	57086	U+2A9BE	𪦾
388	56546	U+319E0	𱧠
389	88678	U+980C	頌
390	119815	U+1797D	𗥽
391	129305	U+3DF6	㷶
392	22719	U+27FCD	𧿍
393	115535	U+27DFC	𧷼
394	107381	U+10493	𐒓
395	84567	U+229DE	𢧞
396	100554	U+29549	𩕉
397	90316	U+23E79	𣹹
398	11865	U+2B143	𫅃
399	132752	U+29F06	𩼆
400	137584	U+2A67D	𪙽
401	59899	U+2D3BE	𭎾
402	121644	U+17411	𗐑
403	16290	U+BC6A	뱪
404	25090	U+2DEC6	𭻆
405	112420	U+1F90F	🤏
406	44950	U+309F2	𰧲
407	142881	U+1F10F	🄏
408	28290	U+1E9C	ẜ
409	131644	U+21497	𡒗
410	131710	U+131E7	𓇧
411	115111	U+858B	薋
412	84003	U+21B42	𡭂
413	86032	U+2AB1B	𪬛
414	53222	U+C955	쥕
415	135813	U+221AD	𢆭
416	20058	U+31E91	𱺑
417	146691	U+1FA28	🨨
418	3679	U+12016	𒀖
419	71316	U+2A4E2	𪓢
420	84142	U+3B75	㭵
421	142679	U+28C30	𨰰
422	66060	U+2C4A	ⱊ
423	114356	U+28E2	⣢
424	125515	U+2408	␈
425	11433	U+10F27	𐼧
426	50798	U+22F38	𢼸
427	44144	U+24DBF	𤶿
428	23428	U+603E	怾
429	9348	U+12FDF	𒿟
430	110902	U+7304	猄
431	52648	U+2D22F	𭈯
432	91886	U+207FC	𠟼
433	5549	U+1014B	𐅋
434	107522	U+27E05	𧸅
435	8232	U+AE15	긕
436	129842	U+52F8	勸
437	38262	U+0720	ܠ
438	106827	U+81AD	膭
439	12624	U+316C6	𱛆
440	12797	U+B19C	놜
441	91775	U+172B0	𗊰
442	1054	U+1D92B	𝤫
443	74267	U+22561	𢕡
444	70172	U+217D4	𡟔
445	49522	U+2A82C	𪠬
446	6541	U+18864	𘡤
447	87231	U+6130	愰
448	87723	U+A80E	ꠎ
449	41677	U+C603	옃
450	121068	U+187C6	𘟆
451	45276	U+236A9	𣚩
452	76113	U+204F5	𠓵
453	11541	U+26530	𦔰
454	111269	U+29325	𩌥
455	43586	U+317A9	𱞩
456	60022	U+31D8D	𱶍
457	18194	U+1208	ለ
458	116481	U+1DF13	𝼓
459	38547	U+2434D	𤍍
460	24011	U+144D2	𔓒
461	111348	U+2E8D6	𮣖
462	103346	U+2E893	𮢓
463	129038	U+1846A	𘑪
464	4710	U+1D772	𝝲
465	112018	U+A3D3	ꏓ
466	134646	U+1130A	𑌊
467	145162	U+1454D	𔕍
468	133050	U+71F1	燱
469	96446	U+2CD23	𬴣
470	137343	U+160A	ᘊ
471	77619	U+227A1	𢞡
472	121315	U+2CB41	𬭁
473	95254	U+29A08	𩨈
474	7736	U+B452	둒
475	98842	U+70B0	炰
476	115908	U+29328	𩌨
477	25976	U+22B25	𢬥
478	53197	U+C516	씖
479	105526	U+25F29	𥼩
480	58329	U+27DF6	𧷶
481	3286	U+A497	꒗
482	126877	U+302BF	𰊿
483	74347	U+23F22	𣼢
484	1799	U+119B6	𑦶
485	130085	U+2A159	𪅙
486	97841	U+1F5AF	🖯
487	146135	U+130EE	𓃮
488	67739	U+235DB	𣗛
489	143497	U+91AA	醪
490	147549	U+1F4F9	📹
491	119775	U+3108E	𱂎
492	96472	U+31518	𱔘
493	120392	U+4D21	䴡
494	55404	U+2C539	𬔹
495	64271	U+2704C	𧁌
496	57538	U+C683	욃
497	65635	U+2D82E	𭠮
498	59056	U+1D669	𝙩
499	90297	U+23063	𣁣
500	13220	U+24C24	𤰤
501	5183	U+132A4	𓊤
502	75803	U+8A6B	詫
503	134177	U+2A4C6	𪓆
504	126447	U+FC2C	ﰬ
505	73296	U+267F1	𦟱
506	10114	U+D4E9	퓩
507	21292	U+ADBC	궼
508	27904	U+C77D	읽
509	107735	U+283E8	𨏨
510	91582	U+2E228	𮈨
511	50044	U+2E32D	𮌭
512	60865	U+2AD43	𪵃
513	133304	U+1251B	𒔛
514	65303	U+21361	𡍡
515	63552	U+C8B3	좳
516	117682	U+18369	𘍩
517	30662	U+1CFB9	𜾹
518	102996	U+2645A	𦑚
519	24708	U+1D312	𝌒
520	26536	U+C169	셩
521	115155	U+950A	锊
522	54961	U+2AD3B	𪴻
523	93744	U+670C	朌
524	109436	U+2142E	𡐮
525	131835	U+20978	𠥸
526	118660	U+756E	畮
527	85706	U+C473	쑳
528	68280	U+95F3	闳
529	79462	U+1F38B	🎋
530	29807	U+32B6	㊶
531	86075	U+2CB02	𬬂
532	14405	U+2D35D	𭍝
533	128872	U+7E67	繧
534	95901	U+31576	𱕶
535	59903	U+2D76B	𭝫
536	91769	U+1710E	𗄎
537	42186	U+2D2C2	𭋂
538	26577	U+C7FE	쟾
539	15252	U+18B50	𘭐
540	32868	U+1F676	🙶
541	99621	U+21FBB	𡾻
542	65976	U+2B12B	𫄫
543	75808	U+8AEF	諯
544	127186	U+2A084	𪂄
545	147773	U+10733	𐜳
546	97132	U+2787A	𧡺
547	133154	U+24EAB	𤺫
548	1573	U+1FB7E	🭾
549	137710	U+4A4A	䩊
550	137863	U+29F2D	𩼭
551	128451	U+2A56B	𪕫
552	42973	U+2D841	𭡁
553	74540	U+2A50D	𪔍
554	124899	U+4A26	䨦
555	22788	U+1241B	𒐛
556	52742	U+A476	ꑶ
557	76817	U+28D5C	𨵜
558	81999	U+1D018	𝀘
559	15587	U+C834	젴
560	130597	U+225A5	𢖥
561	50839	U+2ADB3	𪶳
562	93509	U+28784	𨞄
563	145327	U+3E0F	㸏
564	130612	U+27B47	𧭇
565	139552	U+177AB	𗞫
566	45945	U+73D2	珒
567	111585	U+27A30	𧨰
568	137610	U+1784B	𗡋
569	25623	U+CCF4	쳴
570	65851	U+1F3E4	🏤
571	95722	U+24450	𤑐
572	59122	U+22C3A	𢰺
573	38599	U+26937	𦤷
574	56996	U+2D827	𭠧
575	28190	U+244FE	𤓾
576	31177	U+BC57	뱗
577	24022	U+20255	𠉕
578	114395	U+10683	𐚃
579	42517	U+23466	𣑦
580	11473	U+18BE2	𘯢
581	107100	U+25FE9	𥿩
582	104536	U+30905	𰤅
583	111625	U+308A0	𰢠
584	113988	U+63AC	掬
585	31897	U+3068F	𰚏
586	31931	U+06BD	ڽ
587	65826	U+312CD	𱋍
588	9543	U+B293	늓
589	1913	U+1D8F6	𝣶
590	3613	U+1D8A6	𝢦
591	76751	U+31E3F	𱸿
592	38275	U+1352	ፒ
593	9856	U+11055	𑁕
594	51979	U+18A99	𘪙
595	6977	U+1D643	𝙃
596	94552	U+2D429	𭐩
597	107939	U+5B6C	孬
598	3170	U+1FB80	🮀
599	94283	U+214B0	𡒰
600	90668	U+222E1	𢋡
601	71043	U+768E	皎
602	117108	U+77D4	矔
603	145523	U+1513	ᔓ
604	28944	U+8866	衦
605	40962	U+2D718	𭜘
606	124155	U+17E03	𗸃
607	102355	U+979D	鞝
608	53599	U+2CFB4	𬾴
609	30429	U+216D8	𡛘
610	63759	U+30CB9	𰲹
611	108834	U+4923	䤣
612	11586	U+77FC	矼
613	31120	U+B0B9	낹
614	147534	U+1D49C	𝒜
615	70915	U+357C	㕼
616	51932	U+21A1	↡
617	19324	U+31675	𱙵
618	80224	U+2C95C	𬥜
619	10841	U+2DA71	𭩱
620	75441	U+17689	𗚉
621	134765	U+940E	鐎
622	120239	U+2D7A8	𭞨
623	13354	U+4F2F	伯
624	90787	U+0F33	༳
625	99920	U+8042	聂
626	336	U+1CD0F	𜴏
627	41350	U+313C3	𱏃
628	52867	U+2AA75	𪩵
629	110826	U+532D	匭
630	65425	U+253D5	𥏕
631	569	U+1CE20	𜸠
632	71968	U+296CE	𩛎
633	8147	U+2EB8	⺸
634	89662	U+2CA94	𬪔
635	45912	U+628A	把
636	112779	U+2AD22	𪴢
637	26536	U+C169	셩
638	8066	U+2F94C	䂖
639	86758	U+25F12	𥼒
640	125227	U+27201	𧈁
641	52371	U+266F1	𦛱
642	28170	U+20992	𠦒
643	137704	U+45FF	䗿
644	101289	U+14545	𔕅
645	97425	U+2AB55	𪭕
646	101640	U+2B6B2	𫚲
647	72928	U+27F54	𧽔
648	49723	U+20324	𠌤
649	41567	U+ADAD	궭
650	144511	U+2E4D5	𮓕
651	25289	U+3574	㕴
652	128768	U+10B16	𐬖
653	14304	U+10879	𐡹
654	107913	U+4ADD	䫝
655	77436	U+FAC1	贈
656	20117	U+22A2D	𢨭
657	66834	U+264FC	𦓼
658	73114	U+22F94	𢾔
659	135260	U+9E8F	麏
660	63142	U+2C2AC	𬊬
661	609	U+1F781	🞁
662	90896	U+2ADC1	𪷁
663	7655	U+15A8	ᖨ
664	79287	U+3226C	𲉬
665	85380	U+252A9	𥊩
666	45113	U+1240	ቀ
667	117518	U+2A51F	𪔟
668	54504	U+B551	땑
669	51147	U+294E2	𩓢
670	108505	U+255BA	𥖺
671	83992	U+2037B	𠍻
672	81257	U+17206	𗈆
673	94609	U+1051A	𐔚
674	68748	U+1F569	🕩
675	37255	U+23B3E	𣬾
676	146804	U+1F33A	🌺
677	144367	U+4AE9	䫩
678	120840	U+28AA0	𨪠
679	48082	U+2D273	𭉳
680	63648	U+20E57	𠹗
681	27631	U+520C	刌
682	130253	U+10E9E	𐺞
683	57190	U+34CE	㓎
684	84692	U+2086D	𠡭
685	60718	U+25380	𥎀
686	17772	U+5D52	嵒
687	8541	U+2E3B	⸻
688	114264	U+16E5	ᛥ
689	47618	U+2252F	𢔯
690	40112	U+3CBE	㲾
691	38588	U+25E8E	𥺎
692	6745	U+271C	✜
693	56977	U+2C4FE	𬓾
694	61566	U+242E8	𤋨
695	32534	U+65EE	旮
696	79880	U+99A1	馡
697	123248	U+25CE4	𥳤
698	72485	U+889F	袟
699	45737	U+307FD	𰟽
700	115332	U+29B72	𩭲
701	45418	U+28E9C	𨺜
702	118529	U+3D28	㴨
703	7157	U+FBAF	ﮯ
704	101067	U+52C1	勁
705	10397	U+10B0E	𐬎
706	61490	U+217E1	𡟡
707	127312	U+25E10	𥸐
708	58682	U+3922	㤢
709	19734	U+D49B	풛
710	108885	U+63FD	揽
711	112396	U+1EB0	Ằ
712	117936	U+7ED4	绔
713	23736	U+D5AC	햬
